pc,beta,corr_fetal,corr_maternal,origin_score,z,p,call
PC1,0.0459317120605387,0.000373734564614576,-0.00446543734387235,0.00483917190848693,0.779545709391886,0.446776611694153,fetal
PC2,0.0934843866625015,-0.00206596018667455,0.00452458985269465,-0.00659055003936921,-1.06204419254953,0.291854072963518,maternal
PC3,0.6,0.236495769469678,-0.255840763190297,0.492336532659975,80.8707540778626,0.000499750124937531,fetal
PC4,0.0939788568023798,0.00219113836060264,-0.00696305795055848,0.00915419631116112,1.56076697139088,0.104447776111944,fetal
PC5,0.0727000667863933,-0.00120549780216182,-0.00126134435790894,5.58465557471207e-05,0.0169006241848543,0.988005997001499,fetal
PC6,0.040027605592251,0.00199604986322241,-0.00668764642478,0.00868369628800241,1.48889471830723,0.130934532733633,fetal
PC7,-0.5,-0.178747761828963,0.0445808331184913,0.223328594947455,37.5143058610314,0.000499750124937531,fetal
PC8,0.000512628317936553,0.00302989781576719,-0.005523769175023,0.00855366699079019,1.39961990758306,0.158920539730135,fetal
PC9,0.000991174760780634,-0.0030530368351262,0.00250007475008036,-0.00555311158520656,-0.913169751564872,0.373813093453273,maternal
PC10,-0.011449867205446,0.00174773317234614,-0.00517471359294715,-0.00692244676529329,-1.09590998832258,0.271864067966017,maternal
PC11,0.0205430261105691,-0.00438748306271891,0.00354977543930682,-0.00793725850202573,-1.24377753424963,0.2063968015992,maternal
PC12,-0.0673571796760603,-0.00829931558591605,0.00901776931161401,0.0173170848975301,2.89087273202633,0.00299850074962519,fetal
PC13,0.0198269432435747,0.00353054687026325,-0.00535946769006074,0.00889001456032399,1.47064676472739,0.137931034482759,fetal
PC14,0.0128081301611874,0.00404450828736253,-0.00444224803131177,0.0084867563186743,1.38560201893753,0.160919540229885,fetal
PC15,-0.104282692206462,-0.00437030350994837,0.00447371475458869,0.00884401826453706,1.42884972721456,0.144427786106947,fetal
PC16,-0.065416062861588,0.00119063303904617,0.000432989491982679,-0.000757643547063494,-0.133467739367768,0.885057471264368,maternal
PC17,-0.00814509645356067,-0.00858430974881143,0.010949700460781,0.0195340102095924,3.21809986943206,0.00299850074962519,fetal
PC18,0.0499291560014881,-0.00606593123371748,0.00129643919606298,-0.00736237042978046,-1.21909927097352,0.223888055972014,maternal
PC19,-0.0462694766172863,-0.000888263006267569,-0.00238936000117485,-0.00150109699490728,-0.272630209861769,0.79560219890055,maternal
PC20,-0.0147368613615262,-0.00300585797009344,0.00192161400242311,0.00492747197251655,0.762651278957534,0.441779110444778,fetal
PC21,0.0410592816782227,-0.00176503659366627,-0.00162326928099517,-0.000141767312671102,-0.0669196110683242,0.948025987006497,maternal
PC22,-0.014867057741127,0.0069416331745853,-0.00931209217885426,-0.0162537253534396,-2.65476248756582,0.00849575212393803,maternal
PC23,0.0646372642235611,-0.00278617832011786,0.00432771827346329,-0.00711389659358115,-1.1485396018331,0.246376811594203,maternal
PC24,0.0788951049757881,0.00258259133479615,-0.00328611613946733,0.00586870747426348,0.933277399045476,0.352823588205897,fetal
PC25,0.0367046356289161,-0.00558860465616086,0.00436182104951888,-0.00995042570567973,-1.56416507292949,0.124437781109445,maternal
PC26,0.0122163799129798,0.00582865096003571,-0.00322901188116428,0.00905766284119999,1.48373823724335,0.131434282858571,fetal
PC27,0.00582675622765914,0.00731722173700316,-0.00515557874309671,0.0124728004800999,2.00996887370416,0.0364817591204398,fetal
PC28,0.0942575080774181,-0.00437170634458226,0.00157346767539603,-0.00594517401997829,-0.98396080462293,0.332333833083458,maternal
PC29,-0.0617856653119238,0.00155093348873167,-0.000106297139170437,-0.00165723062790211,-0.26775565135877,0.7976011994003,maternal
PC30,-0.0296592430845941,0.000288825678601693,-0.00513442736681374,-0.00542325304541543,-0.92938828120765,0.361319340329835,maternal
PC31,-0.0294950315343401,-0.00370935138015423,0.00324491540523183,0.00695426678538606,1.17844078951599,0.241879060469765,fetal
PC32,0.0525992238532929,-0.00145809064962371,0.000252190472637827,-0.00171028112226154,-0.275686005833624,0.769115442278861,maternal
PC33,0.064141044096048,0.00154660505078836,-0.00234970214197515,0.00389630719276351,0.606138036113028,0.534232883558221,fetal
PC34,-0.00502012180604603,0.000857774618101626,-0.00122739795898707,-0.0020851725770887,-0.388192694000516,0.698150924537731,maternal
PC35,-0.00623265633498748,-0.00685114161919023,0.00567380634381751,0.0125249479630077,2.06468157914042,0.0399800099950025,fetal
PC36,0.0575811131891179,0.00240233208672597,-0.00216361397844319,0.00456594606516916,0.692774929446182,0.498750624687656,fetal
PC37,-0.0537657785780641,-0.00215906876340913,0.00334202376702998,0.00550109253043911,0.937421116587708,0.346326836581709,fetal
PC38,-0.0778512378949026,-0.00355468145026905,0.000677398340369251,0.0042320797906383,0.686168096235091,0.498750624687656,fetal
PC39,0.0688084819830608,0.00260737798008334,-0.00351246604287523,0.00611984402295857,1.02268676518583,0.310844577711144,fetal
PC40,-0.0140969578868914,0.00230725461396915,0.00100265727050978,-0.00130459734345937,-0.19889747793065,0.857571214392804,maternal
PC41,-0.028430770447613,-0.00708595552967477,0.00887917376994878,0.0159651292996235,2.58213616309092,0.0079960019990005,fetal
PC42,0.00595738250893981,0.0105645752110145,-0.00577160445090992,0.0163361796619244,2.68803798746551,0.0124937531234383,fetal
PC43,-0.0237199274583846,-0.00270739286871808,0.0032790488525587,0.00598644172127678,0.96620670495333,0.329335332333833,fetal
PC44,-0.0328245400148931,0.00838952618111805,-0.00629588766881894,-0.014685413849937,-2.40647736931038,0.0144927536231884,maternal
PC45,-0.0103747265794258,0.00151293302964503,-0.00263363358209772,-0.00414656661174275,-0.710396788070833,0.467266366816592,maternal
PC46,-0.0371584257446577,0.0076311672578415,-0.00672721867768948,-0.014358385935531,-2.30727245435165,0.0184907546226887,maternal
PC47,-0.00507578459253876,-0.000563085705920262,-0.00547579630237759,-0.00491271059645733,-0.799794193235174,0.423288355822089,maternal
PC48,-0.0250255559134821,-0.000926472671334003,0.00247170505990035,0.00339817773123435,0.553304749587343,0.570214892553723,fetal
PC49,0.0509934242925198,-0.00416465520716686,0.00446092851314151,-0.00862558372030837,-1.47347623306759,0.139930034982509,maternal
PC50,-0.0672024219950928,0.000816397657257241,-0.00460387080901364,-0.00542026846627088,-0.869025772450907,0.394302848575712,maternal
PC51,0.0163400861544381,0.00105986332805606,-0.00277206774038291,0.00383193106843897,0.617906751372932,0.52623688155922,fetal
PC52,-0.0247407725611706,0.00422247212892397,-0.00528959545774794,-0.00951206758667191,-1.51568980151562,0.133433283358321,maternal
PC53,0.0420468344002342,0.00870364866455848,-0.00905828014573151,0.01776192881029,2.80876878046008,0.00249875062468766,fetal
PC54,0.00766671779300223,-0.00441451256684246,0.00202891027158135,-0.00644342283842381,-1.06578317168008,0.27336331834083,maternal
PC55,-0.0198098779986229,-0.006018170843439,0.00868786281748048,0.0147060336609195,2.47204452497036,0.0144927536231884,fetal
PC56,0.0398887007659262,0.00567794047654454,-0.00333684208429,0.00901478256083453,1.53148219356832,0.123938030984508,fetal
PC57,0.00517460926842079,-0.00114675509125408,-0.00242407072746358,0.00127731563620949,0.206192269537835,0.83608195902049,fetal
PC58,0.0161298244520206,0.00540473259354177,-0.00928111549047343,0.0146858480840152,2.4173129105844,0.0169915042478761,fetal
PC59,-0.00809558180594632,0.00233441609327035,-0.00217126692456845,-0.0045056830178388,-0.752083198030873,0.469765117441279,maternal
PC60,0.0303645640607783,-0.00416821081228923,0.00466088488143561,-0.00882909569372483,-1.44110566033617,0.15392303848076,maternal
PC61,-0.13235934283864,0.000762873038868631,-0.000488320192790786,-0.00125119323165942,-0.196341467044385,0.84407796101949,maternal
PC62,-0.0586481264913871,0.000448318199398397,0.00122009753454808,0.000771779335149686,0.153126458501064,0.870564717641179,fetal
PC63,-0.0610615783139132,0.00603949382795422,-0.00580024441380963,-0.0118397382417639,-1.87182541751073,0.0619690154922539,maternal
PC64,0.0788205576732274,0.00708042381661773,-0.0021461457896925,0.00922656960631023,1.53947284722706,0.11544227886057,fetal
PC65,0.0566945039718922,0.0119506955992328,-0.0145998296158687,0.0265505252151015,4.23636132871685,0.000499750124937531,fetal
PC66,0.0141255413437174,0.00112721747518048,-0.000495032140497516,0.001622249615678,0.263768437448473,0.792603698150925,fetal
PC67,0.0780698143929909,0.00179275627779145,-0.00402901320493975,0.00582176948273119,0.925071535669718,0.361319340329835,fetal
PC68,-0.035333640205267,0.00364708023578209,-0.00277986822371402,-0.00642694845949611,-1.10901425031301,0.269865067466267,maternal
PC69,-0.00510817303021651,-0.00515726920553315,0.00165178017093439,0.00680904937646754,1.1048806316924,0.273863068465767,fetal
PC70,0.097095742915102,0.00708970284445213,-0.00546767011943658,0.0125573729638887,2.10637067148932,0.0339830084957521,fetal
PC71,0.0471030719295858,-0.00502904098811321,0.00403944077928172,-0.00906848176739493,-1.49057054335838,0.137431284357821,maternal
PC72,0.0176299248161345,0.00140826197559519,-0.00159014029219189,0.00299840226778708,0.499878401001766,0.620689655172414,fetal
PC73,0.00955901312884848,0.000901797267905102,-0.00197231074062519,0.00287410800853029,0.471180963616133,0.639180409795103,fetal
PC74,0.0812042756473231,-0.00434180889500326,0.00543609215748611,-0.00977790105248937,-1.58804205606408,0.116941529235382,maternal
PC75,0.0260637608313641,-0.000213369931964661,0.0013974678503562,-0.00161083778232086,-0.264149371974836,0.793103448275862,maternal
PC76,-0.0117075053776381,0.00317311933613678,-0.00327343272416111,-0.00644655206029789,-1.01073447155983,0.307846076961519,maternal
PC77,0.0155937427952604,0.00860342696506304,-0.00831244582619425,0.0169158727912573,2.78408591861978,0.00399800099950025,fetal
PC78,-0.0509721261478468,-0.00554174286188264,0.00633589533564618,0.0118776381975288,1.93641471532502,0.0454772613693153,fetal
PC79,-0.0806380827801324,0.00533980160802527,-0.00129051632600133,-0.00663031793402659,-1.11883259893857,0.266866566716642,maternal
PC80,-0.0491950549433342,-0.00333652761932294,0.00433943772826378,0.00767596534758673,1.22760511988902,0.217891054472764,fetal
PC81,-0.024843997848577,0.00413728143658003,-0.00604919084281497,-0.010186472279395,-1.63111824122616,0.0954522738630685,maternal
PC82,0.00778410948342865,-0.000267824869586422,0.0014173863222269,-0.00168521119181332,-0.273930066805745,0.774612693653173,maternal
PC83,0.0343681795070484,-0.00369594266434973,0.00141679499857439,-0.00511273766292412,-0.83042118437204,0.409795102448776,maternal
PC84,0.0670332982254028,0.0109524188517489,-0.00952457478217569,0.0204769936339246,3.44795917951333,0.000499750124937531,fetal
PC85,-0.00486787474910552,-0.00663326377290123,0.00654988986847327,0.0131831536413745,2.10638758213814,0.0399800099950025,fetal
PC86,0.0646281270531269,-0.000777248879214715,0.00159888933279293,-0.00237613821200764,-0.354441637041361,0.72063968015992,maternal
PC87,-0.000464853345328539,-0.00315450996450801,0.00147092452951515,0.00462543449402316,0.768610946931166,0.468765617191404,fetal
PC88,0.0101440632001045,0.00811014672380109,-0.00571658505218118,0.0138267317759823,2.24562264990883,0.0264867566216892,fetal
PC89,0.0452676552034383,0.00608883894081715,-0.0061550688699536,0.0122439078107708,1.96857923507285,0.0534732633683159,fetal
PC90,0.0305127389704418,0.00306011479391392,-0.0032850687806039,0.00634518357451783,1.01918456459015,0.308345827086457,fetal
PC91,0.0341950963795803,-0.00088660722364624,-0.00193282732428626,0.00104622010064002,0.169801675439577,0.854072963518241,fetal
PC92,-0.0497277022118016,-0.000862960588796239,0.000104594429124292,0.000967555017920531,0.180349830559046,0.853073463268366,fetal
PC93,0.0463783427323501,-0.000991132159434383,0.000880095454902626,-0.00187122761433701,-0.298033590559459,0.765617191404298,maternal
PC94,0.0356058953765263,0.00496477646459301,-0.00403525836147512,0.00900003482606813,1.49576096994776,0.137931034482759,fetal
PC95,-0.028941305380593,-0.00409527148110224,0.00513828568559585,0.00923355716669808,1.52635047445797,0.129435282358821,fetal
PC96,-0.0368718672856661,-0.00553684700488542,0.00428438283906848,0.0098212298439539,1.58113460972892,0.115942028985507,fetal
PC97,-0.0784179674332478,0.00842089505021747,-0.00757264969859474,-0.0159935447488122,-2.68039545428456,0.0079960019990005,maternal
PC98,0.0689614311436725,-0.00586156904928719,0.00490059974834906,-0.0107621687976363,-1.74021807617593,0.079960019990005,maternal
PC99,0.034696238582114,-0.00256121248869845,0.00167225179004417,-0.00423346427874262,-0.686263217343947,0.485257371314343,maternal
PC100,-0.120079595333659,0.00628718263437457,-0.00671058701225373,-0.0129977696466283,-2.12726320260732,0.0344827586206897,maternal
