pc,beta,var_frac,best_tissue,best_corr,corr_B,corr_CD14_M,corr_CD16_M,corr_GC,corr_DSC_A,corr_DSC_B,corr_EVT,corr_proEVT,corr_fEC,corr_LEC,corr_Epi,corr_Ery,corr_FB,corr_vEC,corr_pvSMC,corr_SCT,corr_SCT_A,corr_SCT_B,corr_proSCT,corr_T,corr_VCT,corr_cycling_VCT,corr_aEC,corr_avVCT,corr_cDC,corr_cilated,corr_dNK,corr_eS,corr_eEVT,corr_iEVT,corr_uDSC,corr_pEVT,corr_HB
PC1,0.0459317120605387,0.0284960493448702,uDSC,-0.00411852281458993,-0.000629204189891443,-0.00114525210969517,-0.00140091527277865,-0.00104999915239454,-0.00261459690307051,-0.00321979370910729,-0.00285688977663809,-0.0023156525534054,-0.00260517297125377,-0.00280224392793687,-0.00146991805996056,0.00185858369414725,-0.00232390878292945,-0.00295534500971178,-0.00232802128345788,0.000150673831424865,-0.00025325580998261,0.000865864492680645,-0.00179773757059094,-3.94704256517109e-05,-0.00272338595542021,-0.00278222324121782,-0.00123452487442005,-0.0017558605923648,-0.00292883492107962,-0.00310223116153263,-0.000336364742563225,-0.00397911340498273,-0.00384427857834113,-0.00261919170567073,-0.00411852281458993,-0.00195781862886823,-0.00039647168049908
PC2,0.0934843866625015,0.0282733609794613,T,-0.00313198263327394,-0.000872885694794443,-0.000863720452489834,-0.00114584665737805,-0.000104556409431707,0.00151607031675061,0.00142452176407961,0.000470686626444603,0.000344410208843843,0.000498337319153479,0.00298794550909262,6.82641472368051e-05,-0.000664467270759171,-0.000143537005021032,0.00216650100603759,0.000585733285798612,-0.000862147154292457,-0.00136466633923733,-0.000683187596370936,-0.00134983890693361,-0.00313198263327394,-0.000334362450961335,7.3741888160342e-05,0.00201202697969038,-0.00092190508344332,0.000747322178191944,0.00197482339264167,-0.000499601859566235,0.000626876314407261,-0.00105604345904417,0.000953337689992152,0.00162877180391326,0.00103768607759065,-0.00105067170950009
PC3,0.6,0.0280776754495258,SCT_B,0.833403464067588,0.71091443299298,0.712220856824439,0.753056314487385,0.796423910499615,0.712608222490594,0.670054384076579,0.746315505527103,0.763599218980648,0.770987188116589,0.65982212206577,0.673764145467825,0.609650384406925,0.783123185774448,0.692661222113896,0.768408466766374,0.829012419108196,0.80995279868424,0.833403464067588,0.806290859128702,0.715240536969105,0.793028442202385,0.775485312105228,0.738483686353247,0.795479819591165,0.699363350956499,0.658132284642585,0.692839572954596,0.644387325862414,0.726054312078005,0.735899814460698,0.638949998393415,0.743467259759657,0.748570462907554
PC4,0.0939788568023798,0.0280106815371498,Ery,0.00907089050489021,0.00592222527789039,0.00516836292617289,0.00424684562072887,0.00330311594993973,0.00227099630279188,0.00263692784441999,0.0049217280676111,0.00435066124755177,0.00532145859549806,0.0040930264510636,0.0032580206899871,0.00907089050489021,0.00417876724361048,0.00383901740611132,0.00292839092203466,0.00493835789045322,0.00619907785291187,0.00515503094101904,0.00647865786893017,0.00700660451137134,0.00583612156438449,0.00426615981194674,0.00344302902081516,0.00473779310562288,0.00373046082383406,0.00365142065500683,0.00518968190489773,0.00220093618593875,0.00495723965400635,0.00455524925629092,0.00175258404017296,0.00545176479250431,0.00578637139351642
PC5,0.0727000667863933,0.0279944103730564,HB,-0.00543793952606161,-0.00279142645432728,-0.00306688252259674,-0.00331433275483228,-0.00349468873619582,-0.00341972791680396,-0.00335431615039857,-0.00317079012697554,-0.00340699839439147,-0.00257048868368439,-0.00315987773938676,-0.00334781375201968,0.00508708491992762,-0.00379221690638573,-0.00335028367907425,-0.00390996156255453,-0.00417159836918847,-0.00443385811744213,-0.00318266764565249,-0.00311836465084111,-0.00197787425324584,-0.00317752385827036,-0.00302539936231465,-0.00323100578506458,-0.0034845714050301,-0.0038906433041522,-0.00434407785756236,-0.00335853259899687,-0.00365594263046807,-0.00367193221944659,-0.00270840627491059,-0.00279231551519172,-0.00294257757634567,-0.00543793952606161
PC6,0.040027605592251,0.0276735657751847,eS,-0.0068233345791352,-0.00260892100563864,-0.0012568258427465,-0.00127871211568667,-0.00328773149680282,-0.00542435507788151,-0.00560917397086222,-0.00258251486873277,-0.00391439251949683,-0.00369781956791695,-0.00488254354789579,-0.00267909500539201,-0.00188121462752421,-0.00395894531221839,-0.00457803721564387,-0.00272974366220429,-0.000779247981046713,-0.00062843099882578,-0.000385625463788774,-0.00190649750794261,-0.00246251114837331,-0.00378249894355645,-0.00415959267987139,-0.00337469861795457,-0.00308124879741683,-0.00312282932539913,-0.00515923403326665,-0.00253041740432783,-0.0068233345791352,-0.00441619495052122,-0.00305683989188034,-0.00601344421056566,-0.00489737224618067,9.41931761609214e-05
PC7,-0.5,0.0261647373542378,CD16_M,-0.70668482338832,-0.669962380086302,-0.703228662765345,-0.70668482338832,-0.599648831825737,-0.61334196168375,-0.608073181569066,-0.553150739685078,-0.574496164072746,-0.617937129848274,-0.622242866758081,-0.607659237632158,-0.528087753285457,-0.613043607239923,-0.635375339767071,-0.618846734717458,-0.572417335727538,-0.561224650560889,-0.58591645005997,-0.57419679612064,-0.673517271095605,-0.570953920320053,-0.594663022258137,-0.616826826690195,-0.594356165715268,-0.670095595517684,-0.602756348722298,-0.669848735081818,-0.593711462941899,-0.559002093680944,-0.540722554599484,-0.5958560155393,-0.566770168585301,-0.676455457792818
PC8,0.000512628317936553,0.0261614087203993,Ery,-0.00658694938756984,-0.00184317372447835,-0.00184455982502796,-0.00191645153040869,-0.00277355654353601,-0.0039665273001396,-0.00399597602141983,-0.00185600055840218,-0.00237508629342646,-0.00269457410516148,-0.00402029324245564,-0.00522326037530239,-0.00658694938756984,-0.00246195993391824,-0.00397439150305387,-0.00198587770680556,-0.00267319111582365,-0.00238390580930358,-0.0033087997272073,-0.00173274264427759,-0.00149875880093788,-0.00231186607159152,-0.00227384949850187,-0.0014201012129288,-0.00245728442832041,-0.0025302598070166,-0.00582377984641289,-0.00386274186638272,-0.00399635209756507,-0.00243262217827459,-0.0012932684461164,-0.00424544173866268,-0.00208007013948333,-0.00228958099444793
PC9,0.000991174760780634,0.026062321182078,Ery,-0.0133939274808588,-0.00855478340821495,-0.00931932331433058,-0.0100425821023338,-0.011917153129142,-0.0104508662599143,-0.0105399297131535,-0.0101492358658263,-0.0115542525462323,-0.010579526360734,-0.0103543548073894,-0.0101644797257141,-0.0133939274808588,-0.0105235094456686,-0.0109969499138594,-0.0103156027328889,-0.0110163602300423,-0.0107531847066317,-0.0116884071265025,-0.0105680703332887,-0.0102326384602867,-0.0122105386229203,-0.0119541302711326,-0.0101073093844819,-0.0128465999997931,-0.00975958623692667,-0.0101956676186741,-0.0110767120463276,-0.0100525689752215,-0.0113096903069172,-0.00983556094916683,-0.0086069609502804,-0.010106547888132,-0.00895508881712439
PC10,-0.011449867205446,0.025858668829547,eS,0.00517964611777282,0.00155169830554516,0.00129793593660381,0.00194038272176396,0.00236353410078349,0.00451440523930836,0.00398572904664016,0.00154393660413068,0.00125257400500516,0.00166070949743893,0.00306624772470847,0.00252076331847124,0.00306944692533523,0.00373453101080635,0.00167474264292268,0.00398258306240698,0.000254516825090492,0.00167565450992096,0.000385033543107659,0.00293292873409866,6.96444045762802e-05,0.00402205250170689,0.00403388847857876,0.00210497246309383,0.00346741206754822,0.00280074839635493,0.00249460915156063,0.00142652010512756,0.00517964611777282,0.000463885676407929,0.00203718369990446,0.00491996596831371,0.00246505592527874,0.000980359888985671
