pc,beta,pos_contrib,neg_contrib,pos_frac,neg_frac,best_tissue
PC1,0.0459317120605387,1.89281828808875e-05,-3.88605873068477e-05,0.000591682124582057,0.00151053500425055,right renal cortex interstitium
PC2,0.0934843866625015,6.09261721919262e-05,-0.000137364373536116,0.00190451070934924,0.00533943794839891,upper lobe of left lung
PC3,0.6,0.033357001236533,0.00318727420850688,1.04271717393681,-0.123891314922207,placenta
PC4,0.0939788568023798,7.01058703213791e-05,-0.000206278876725134,0.00219146183014282,0.00801818720521223,retina
PC5,0.0727000667863933,4.20800405624369e-05,-9.04584957238902e-05,0.00131539345108622,0.00351617753853934,heart right ventricle
PC6,0.040027605592251,2.31406665680034e-05,-1.86665957755441e-05,0.000723361499905334,0.000725582094437009,right kidney
PC7,-0.5,-0.00382103596465298,-0.0253273554338968,-0.119442985726495,0.984489931814669,CD14-positive monocyte
PC8,0.000512628317936553,1.06006297891198e-07,-6.86295372691341e-08,3.31368478157909e-06,2.66767245569336e-06,liver
PC9,0.000991174760780634,-4.64961343375093e-07,-1.09848136373475e-09,-1.45343753929222e-05,4.26986483332391e-08,chorion
PC10,-0.011449867205446,4.23418379776424e-06,1.39258657442885e-06,0.000132357706024795,-5.41306993256241e-05,natural killer cell
PC11,0.0205430261105691,2.16404261289242e-06,-3.26040006609937e-06,6.76465004031204e-05,0.000126733762122943,skin of body
PC12,-0.0673571796760603,4.56486715491653e-05,-7.20787758382512e-05,0.00142694642885298,0.0028017464869354,upper lobe of left lung
PC13,0.0198269432435747,1.14497857663176e-05,-7.50527086528135e-06,0.000357912516529242,0.000291734509025075,esophagus squamous epithelium
PC14,0.0128081301611874,4.40610633213155e-06,-8.37768893729696e-06,0.000137731887531711,0.000325645937735988,placenta
PC15,-0.104282692206462,0.000119455028101158,-0.000149091443680841,0.00373408294201713,0.00579527640011954,spleen
PC16,-0.065416062861588,3.42528142805173e-05,-7.8105073711525e-05,0.00107071968048635,0.00303599240328615,trophoblast cell
PC17,-0.00814509645356067,3.65484269097303e-06,-1.46023347705704e-06,0.000114247897012432,5.67601761665725e-05,left cardiac atrium
PC18,0.0499291560014881,1.28053771674386e-05,-2.25918668439364e-05,0.000400287381846629,0.000878159802621408,spleen
PC19,-0.0462694766172863,5.63097887299278e-06,-4.49109701771063e-05,0.000176020570173867,0.0017457171192937,placenta
PC20,-0.0147368613615262,3.29985410390402e-06,-9.96623163147534e-06,0.000103151195193714,0.0003873935723344,coronary artery
PC21,0.0410592816782227,1.61139871497406e-05,-1.19999878183644e-05,0.000503712279844553,0.000466446930075745,left renal cortex interstitium
PC22,-0.014867057741127,2.69879928618562e-06,-3.23163239507985e-06,8.43626303443647e-05,0.00012561554500176,left hindlimb
PC23,0.0646372642235611,4.3404191902988e-05,-7.782032020749e-05,0.00135678552149128,0.00302492385890128,lung
PC24,0.0788951049757881,8.43783436954405e-05,-0.000106347327934186,0.00263760964169702,0.00413378624941146,upper lobe of left lung
PC25,0.0367046356289161,2.01972062195189e-05,-9.20547904295024e-06,0.000631350931137376,0.00035782264986049,muscle of back
PC26,0.0122163799129798,8.89277629791655e-07,-3.63136296668109e-06,2.77982139463432e-05,0.000141153318939787,stomach
PC27,0.00582675622765914,-1.11338501163093e-06,-4.30830248037725e-07,-3.48036582964756e-05,1.67466375485337e-05,"common myeloid progenitor, CD34-positive"
PC28,0.0942575080774181,3.71854142706577e-05,-0.000136884962355882,0.00116239076183815,0.00532080294004315,hindlimb muscle
PC29,-0.0617856653119238,4.81491885320337e-05,-3.06445348798576e-05,0.00150511088923925,0.0011911719773943,small intestine
PC30,-0.0296592430845941,5.27287730276615e-07,-2.23278386874305e-05,1.64826558618653e-05,0.000867896865281814,tibial artery
PC31,-0.0294950315343401,3.65933468633647e-06,-1.44142628266886e-05,0.000114388313732673,0.000560291289173179,occipital lobe
PC32,0.0525992238532929,2.81614786565428e-05,-3.17248730582688e-05,0.000880308671346388,0.0012331653889203,right atrium auricular region
PC33,0.064141044096048,5.37513157892414e-05,-6.89001789014443e-05,0.00168022957752446,0.00267819246291775,urinary bladder
PC34,-0.00502012180604603,-4.4930459414827e-07,-5.87241253242371e-07,-1.40449560595995e-05,2.2826429820999e-05,lung
PC35,-0.00623265633498748,2.10371247882716e-06,-8.1080691054286e-07,6.576062144027e-05,3.15165648525188e-05,urinary bladder
PC36,0.0575811131891179,4.00802130129029e-05,-3.66555062410053e-05,0.00125288020188781,0.00142482214276278,upper lobe of left lung
PC37,-0.0537657785780641,3.9147610259283e-05,-4.54464931997726e-05,0.00122372767403423,0.00176653322958385,right forelimb
PC38,-0.0778512378949026,5.41733812858959e-05,-6.47463988188177e-05,0.00169342305792059,0.00251673246836794,omental fat pad
PC39,0.0688084819830608,5.70582526106357e-05,-6.3941038617823e-05,0.00178360217365026,0.00248542762047599,psoas muscle
PC40,-0.0140969578868914,-2.66989156606968e-06,-1.16625156340757e-06,-8.34589946724855e-05,4.53329178063822e-05,tibial nerve
PC41,-0.028430770447613,1.69251913111764e-05,-1.70900027170499e-05,0.00052906997026463,0.000664298949550151,occipital lobe
PC42,0.00595738250893981,2.11241329841328e-06,1.09017907708824e-06,6.60326031434643e-05,-4.23759333290664e-05,trophoblast cell
PC43,-0.0237199274583846,9.21783706959984e-06,-4.08536969378083e-06,0.000288143318125863,0.000158800840528544,transverse colon
PC44,-0.0328245400148931,1.11166760355247e-05,-2.94210158749714e-05,0.000347499732878811,0.00114361303880562,trophoblast cell
PC45,-0.0103747265794258,1.58184215266347e-06,-6.69820226714424e-07,4.9447309946822e-05,2.60363254682177e-05,eye
PC46,-0.0371584257446577,-4.48411266278629e-06,-2.74042615246689e-05,-0.000140170312379098,0.00106522055294194,heart left ventricle
PC47,-0.00507578459253876,-1.74979729216218e-06,-5.76460746996937e-07,-5.46974733882065e-05,2.24073848920408e-05,tibial artery
PC48,-0.0250255559134821,2.07731306126055e-05,-8.28941644849549e-06,0.000649353936002898,0.000322214731635213,tibial artery
PC49,0.0509934242925198,3.15911320479222e-05,-3.31182831373672e-05,0.000987517303995453,0.00128732809838051,skin of body
