pc,beta,var_frac,best_tissue,best_corr,corr_Peyer's patch,corr_adrenal gland,corr_brain,corr_cerebellum,corr_chorion,corr_coronary artery,corr_esophagus muscularis mucosa,corr_esophagus squamous epithelium,corr_eye,corr_femur,corr_forelimb muscle,corr_frontal cortex,corr_germinal center,corr_heart,corr_heart left ventricle,corr_heart right ventricle,corr_hindlimb muscle,corr_kidney,corr_large intestine,corr_left cardiac atrium,corr_left forelimb,corr_left hindlimb,corr_left kidney,corr_left lung,corr_left renal cortex interstitium,corr_left renal pelvis,corr_liver,corr_lung,corr_muscle of arm,corr_muscle of back,corr_muscle of leg,corr_muscle of trunk,corr_occipital lobe,corr_omental fat pad,corr_ovary,corr_pancreas,corr_placenta,corr_psoas muscle,corr_renal cortex interstitium,corr_renal pelvis,corr_retina,corr_right atrium auricular region,corr_right forelimb,corr_right hindlimb,corr_right kidney,corr_right lung,corr_right renal cortex interstitium,corr_right renal pelvis,corr_sigmoid colon,corr_skin of body,corr_small intestine,corr_spinal cord,corr_spleen,corr_stomach,corr_testis,corr_thymus,corr_tibial artery,corr_tibial nerve,corr_tongue,corr_transverse colon,corr_upper lobe of left lung,corr_urinary bladder,corr_vagina,corr_CD14-positive monocyte,corr_B cell,"corr_CD4-positive, alpha-beta T cell","corr_CD8-positive, alpha-beta T cell",corr_natural killer cell,"corr_common myeloid progenitor, CD34-positive",corr_trophoblast cell,corr_endothelial cell of umbilical vein,corr_dermis blood vessel endothelial cell,corr_neutrophil
PC1,0.0459317120605387,0.0284960493448702,right renal cortex interstitium,-0.00827554574710993,-0.00238070138636534,-0.00475094697686146,-0.00256443930223606,-0.00455967731177683,0.00274215846145505,-0.00385388309911377,-0.00148024932463264,0.00184107523518235,-0.00489929756219826,-0.00370439194247241,-0.00519423295774798,-0.000259887376386949,-0.00335339763743155,-0.00256485661787324,-0.00238194565668341,-0.0017045322618355,-0.00375671120447336,-0.00654372349669444,-0.00329130059849117,-0.00249401312904995,-0.00425248203408728,-0.00488005546849841,-0.00682939574874307,-0.00626013694238736,-0.00738398389417467,-0.00610039650693946,-0.00406388504500489,-0.00499442419258426,-0.00550310634648896,-0.00511510757632041,-0.00388075632256696,-0.00456442408699676,-0.00187702138904897,-0.000500327989815629,-0.005027427995213,-0.00338235322000642,-0.00408284730401806,-0.00161082886474608,-0.00774518272246214,-0.00677096380426286,-0.00380599845583034,-0.00416445800198469,-0.00461031244282902,-0.00419393800520983,-0.00474502561026216,-0.0037085444442404,-0.00827554574710993,-0.0070608542186926,-0.00422405186820726,-0.00621083487502703,-0.00353360183674968,-0.00436507416708411,-0.00711512258005864,-0.00525292025666637,-0.00503525859179472,-0.00392752865741234,-0.00495636747457666,-0.00322224175083979,-0.00546270011747084,-0.00172029690980045,-0.00176761704687351,-0.00573528935849907,-0.000873173313784719,-0.000955532309415001,-0.00432964061832674,-0.00318078445961638,-0.00334647058466472,-0.00340213209430233,-0.00271191075668224,-0.00208251356855888,-0.000755802753928299,-0.00400939844608558,-0.000445906025863554
PC2,0.0934843866625015,0.0282733609794613,upper lobe of left lung,-0.00612231895920225,-0.00368016857114669,-3.66021100313416e-05,0.00149588794288346,-0.00116754531124192,0.00196561055866379,-0.00122302563840835,-0.00317956037017254,0.00168608044004412,-0.00106662360896214,0.00102134563574115,0.00321501429061954,0.00164985594759136,-0.000227370252340618,0.000866105079934483,-0.000241748965385746,-0.000605475882693632,0.000581529125243435,0.0002137172752767,-0.00107641106843926,0.00216065426845605,-0.00436307823514917,0.00141039223511471,0.000291709765241931,0.000154498876221731,0.00148353923024324,0.000246586463070389,-0.0019473128163588,0.000902427540618067,0.00161664800229289,0.00197219590512798,0.00257694215452112,0.0016523448739881,-0.0047219174737673,0.0010141803052648,0.000871579693910433,-0.00110676169884518,-0.00460669903889618,0.0005938349119738,-0.000261659124900799,9.49927922238682e-05,6.04138957384003e-05,-0.00177976933203211,-0.00114988074913133,0.000482849019277802,-0.00109696360920522,0.0025523062303459,0.00106276178355309,0.00058692899672509,0.0020360762332951,-0.00103482104308622,-0.0025255880344972,0.0014401281026816,0.00101186209388731,-0.00147234324332957,0.0016712788885108,2.42072008864787e-05,-0.0036783923564156,-0.0047331581099625,-0.000356797586499487,-0.00306714610020255,-0.00612231895920225,0.00303156171489625,0.000216349019853874,-0.000956693350913159,0.0019831343309296,-0.000994535392998409,-0.00119229013992707,-0.00203981169776608,-0.000416744948855893,-0.00335213783029483,0.00213940927054889,0.00516370800517672,-0.00419398270797343
PC3,0.6,0.0280776754495258,placenta,0.988833230890492,0.708499194406347,0.717152159313814,0.531079660724989,0.641368693827493,0.518121925254911,0.618585268790208,0.404431272524272,0.315993623650916,0.654806551731984,0.723990044490383,0.586523723960667,0.621956122194382,0.683955999217464,0.719577883418648,0.692740192511681,0.628677738907462,0.698385977400693,0.710628327511723,0.747412812579331,0.675165391211031,0.653210788233629,0.703012490161355,0.715502566124981,0.65776876828426,0.676611791717919,0.696917922663152,0.685753961882684,0.631365742084176,0.664415368666141,0.655358155444406,0.651511873010901,0.686895283452067,0.577167309374756,0.36385141342855,0.725020908755296,0.691790412455332,0.988833230890492,0.715650203320833,0.709161044536669,0.724319256234295,0.662485544330373,0.40202538201699,0.698928344575245,0.706379398335865,0.708854169679911,0.648752244696976,0.686568010241041,0.712417046861821,0.630477913443268,0.623709770654273,0.754193234448724,0.672182563625943,0.664233229947521,0.735618876338128,0.664983348223883,0.678075882336789,0.476113475909259,0.361967578933861,0.707014349406429,0.705399565126947,0.256612464211507,0.701781192172054,0.387619727279567,0.653213971396372,0.670424415092695,0.656458439733027,0.667175278485426,0.667958991620946,0.687731074614423,0.875255749758198,0.663742950165879,0.670178948449681,0.699662871970542
PC4,0.0939788568023798,0.0280106815371498,retina,0.00670456294597561,0.00181652322716837,0.00445856505140644,0.00489348949222476,0.00318302136210701,0.00296081354766669,0.00156831895272062,0.000578367700633141,0.00160515162442865,0.00640983733713479,0.00147192468476387,0.00168844437674574,0.00379640244088385,0.00516647969704521,0.00174108088170402,0.000735389494357691,9.37047021411032e-05,0.00185272009238952,0.00472824764519438,0.00375877525295721,0.00256903376144719,0.00143233845855068,0.000416647152954769,0.00429482875107101,0.00322966962940934,0.00319638542368727,0.00441773305505777,0.00464299720510824,0.00362310182730377,0.0026817546097465,0.00090162378015846,0.00263542602014387,0.000833521442418079,0.00433851784877625,0.00271653773789088,0.00389986444574428,0.00328414321030233,-0.000146001259429856,7.64386415797902e-05,0.00485237195833164,0.00485185986447818,0.00670456294597561,0.00110507647794187,-0.000705053126604562,0.000322452693847323,0.0044050733524517,0.00396646289708421,0.00519728314465805,0.00458992426195639,0.00145896801701768,0.00600969970051932,0.00234743526597695,0.00663540795309091,0.00503776206257227,0.00668176676975834,0.0058613768751103,0.0060338363977039,0.000402062611772717,0.00247679858211418,-0.000438001591304463,0.00192774673297959,-0.00448911279466336,0.00105252898858509,0.0023650123489555,-0.00242202510175553,0.00379199639946837,0.00383677283890501,0.00348762782749761,0.0048739641295484,0.00266715474826369,-0.00114774168196578,0.00458199361413694,0.00414192000264934,0.00294248652586615
PC5,0.0727000667863933,0.0279944103730564,heart right ventricle,-0.00630751790985609,0.000163465713102877,-0.000429062321870504,-0.0021998639985555,0.00147173386980434,-0.00035603915862474,-0.000249570556766881,0.00212903928567586,0.00250461533180108,-0.00041185431350334,-0.000535001257606399,0.00376940045467564,0.00146776171019267,0.00196761154775919,-0.0019777197603056,-0.00345301902045322,-0.00630751790985609,-0.000367354944688942,-0.000608235452699524,-0.0016953887582572,-0.00213363323447684,-0.000250563434081039,0.000176371556149328,-0.00175262731944678,-0.00159210790384381,-0.000446989979344058,3.76605077494461e-05,0.00116511499271202,-0.00171582976788779,0.00130754741097996,0.000682135145903013,0.000547302203769606,0.00148726600831375,-0.00302153934438692,0.00521353710901733,-0.00134147431391038,-0.00132534533885191,-0.00234947546267859,-0.002514923647097,6.33913856201423e-05,7.9465699850985e-05,0.000565851615146695,0.00599457111501414,0.00103685338082773,0.000380427909017776,-0.000329407195022938,-0.00267702722505362,-0.000926643960532383,-2.81634666803589e-05,0.00229609944558054,-0.000518742745457789,-0.000979142613790396,0.00139503845382947,0.0023637273790791,-0.000216324293012234,0.00343725731861156,0.00074391285150421,-0.000716158594025313,0.00274678081355278,-0.0022185554528548,-0.000692373922302874,0.00236064171101837,-0.00232714529393228,0.00617464864404446,-0.00112420711000094,0.00105289045852098,0.000198812557848958,0.00147549325984824,0.00109637271740142,0.000160048286123271,0.000250674105256298,0.00224080164212605,-0.000637138877154709,0.000893782764785416
PC6,0.040027605592251,0.0276735657751847,right kidney,-0.00551537273477568,0.00188924190417689,0.00104960600947802,-0.00397864660784148,0.00158126935074925,0.00158541151330931,0.00401470292805726,0.00126547672738848,0.00541628474450521,-1.67527284835088e-05,-0.000142441694487218,-0.00405726852120718,0.00113492718189351,0.000816321167068868,-0.0012501021632487,-0.000859920004750036,-0.00276066012919869,-0.0027828997157372,-0.00295428343116852,0.000843487827709691,-0.00145387540086717,0.000684167753262017,-0.000518464855047436,-0.00380664849449879,0.000438173114155291,-0.00534679716133101,-0.00378032115189168,-0.0011337874429648,0.000913516172022099,-0.00374537754898851,-0.00543100967597835,-0.00381679986543474,-0.00233858753213339,0.00321977730284149,0.00440814100251478,-0.00258010847529905,0.00236057073800352,0.000350318785495825,3.39101375610172e-05,-0.00483352789195284,-0.00257439025775147,-0.00170655953429792,0.00426642653123973,-0.00166262905079395,-0.000477822922442337,-0.00551537273477568,0.000293093284970503,-0.00394512973254294,-0.00332831072509119,0.00230984551695501,-0.0019840019528797,0.00147014734070274,-0.00217690281993309,-0.00221993665336997,-0.000438730963575092,0.000436247728141267,-0.00308999802849538,0.00513884525558529,0.0040743961689775,0.000570197618706786,0.00256207254571518,0.00549927354622826,-0.00467639842792444,0.00141878522587791,0.00143903864742206,-0.00212307742357165,-0.00317503580201582,-0.00302495242084,-0.00312990709764025,-0.000116195365527324,1.42496806884095e-05,-0.000263992216811939,0.000126361494912028,-0.00204738823305193
PC7,-0.5,0.0261647373542378,CD14-positive monocyte,-0.988927312084403,-0.701844967782738,-0.680382887745787,-0.508540771791925,-0.655189169218373,-0.545855655989559,-0.596728399765871,-0.362519285945115,-0.254894297828644,-0.61440869661677,-0.72322649767912,-0.563258195262286,-0.668354890268136,-0.757672425127825,-0.701356401833829,-0.647872770570816,-0.560120342741394,-0.683407360086096,-0.671457447051162,-0.717787320411194,-0.622580927984079,-0.621612870361008,-0.6926529570046,-0.680228356921799,-0.609155786421401,-0.629696066955673,-0.658361015168543,-0.68318909886749,-0.589255222929945,-0.632299669611209,-0.618641814981711,-0.617600660211232,-0.662591645994826,-0.544915570703309,-0.309496136737339,-0.693596754460705,-0.653754825703878,-0.653747420986814,-0.750986234255634,-0.669189926278819,-0.682315960580533,-0.640026717425126,-0.363132634264026,-0.675833947441872,-0.691384190560399,-0.663777251170887,-0.600879434010204,-0.643356348878692,-0.667634005585479,-0.610388213177713,-0.570778951615814,-0.712809534664189,-0.638974694451854,-0.686194145352419,-0.684058873403308,-0.610765080453367,-0.708996095498847,-0.438321536848287,-0.301685552120465,-0.658374593186803,-0.67384537023639,-0.228018677548382,-0.634273458055966,-0.336021867552531,-0.988927312084403,-0.757120019833676,-0.744284504322043,-0.748699747745707,-0.741763702258673,-0.762293225356203,-0.639010438806613,-0.668785454763026,-0.674374794906112,-0.860773017910075
PC8,0.000512628317936553,0.0261614087203993,liver,-0.00965660832915685,-0.00708749755134679,-0.00797137739430254,-0.00812759097301902,-0.00620444164562546,-0.00367489696569707,-0.0057562851980257,-0.00248264065011353,-0.00415667886294404,-0.00411720445361954,-0.00756477988720158,-0.00699899278600647,-0.00656263591416754,-0.00326045414064148,-0.0059102726755158,-0.00461202084947651,-0.00405461858680363,-0.0064227601997114,-0.00818651430085652,-0.00895465462446268,-0.00632053824153616,-0.00523797807788668,-0.00743264263666682,-0.00722355450036315,-0.00573554743572413,-0.00710285752868179,-0.00806751401718332,-0.00965660832915685,-0.00485988936169785,-0.00698177333335932,-0.00622290023045363,-0.00657476518667194,-0.00714054327652512,-0.00792465833225042,0.00036587439538812,-0.00803748910215725,-0.00721600866065515,-0.00505325446610569,-0.0057627627950298,-0.00790512887497831,-0.00844510052498229,-0.00478865159588893,-0.00194480253984963,-0.00663759870528845,-0.00745586667034457,-0.00790882792465907,-0.00565780576446506,-0.00778144516907599,-0.0096327189601056,-0.0060005142854349,-0.00836324689132936,-0.00865364416042368,-0.00854841754445989,-0.00694244544675093,-0.00563253934283938,-0.00439609614398454,-0.00614419598889107,-0.00237049944834943,-0.000787127115881242,-0.0088107946929543,-0.00733964133793929,0.00219458180435244,-0.00803825361079624,-0.00122391410051253,-0.00836246628197883,-0.00659309121328224,-0.00596802308793588,-0.00594898840064334,-0.0067132773775244,-0.00799799782891417,-0.0041811279215616,-0.007959229599755,-0.00696927060573457,-0.00871862089279337
PC9,0.000991174760780634,0.026062321182078,chorion,-0.0116404305493688,-0.00745796572501471,-0.00848292912179958,-0.00712457264004535,-0.00878740762429609,-0.0116404305493688,-0.00816242198804203,-0.00529895460987992,-0.00890591819778666,-0.00769565925045295,-0.00569715427929646,-0.00634827910042141,-0.00722745301561499,-0.005955829182034,-0.00579391957905909,-0.00662098648248891,-0.00514626057561746,-0.00636427149056794,-0.00685224866806149,-0.00828486008623246,-0.00473069034769008,-0.00590740053886946,-0.00519744396118468,-0.00713549497907604,-0.00700698075404312,-0.00701054376764324,-0.00654270785803491,-0.00739459546711865,-0.00682978612855174,-0.00683783382794266,-0.0078830294433121,-0.0077855615123222,-0.00764668868382598,-0.00859201093184495,-0.00494761392520831,-0.00630861653871773,-0.0092887404420839,-0.0113927869730741,-0.0060112125875866,-0.00750337144401634,-0.00701829069765583,-0.00666471268337795,-0.00857218847895616,-0.00795030508158628,-0.00586233063454421,-0.00792454295109019,-0.00756075633086697,-0.0058287440611321,-0.00657917681381792,-0.00874316261689219,-0.0076268399147342,-0.00912329564250935,-0.00829865353487607,-0.00809982857728601,-0.00889557440796433,-0.00899105436230743,-0.00804314706758616,-0.00842428589466241,-0.00981462839495928,-0.00545790867664309,-0.00753757394923432,-0.00693100509660785,-0.00843405014941323,-0.008020758133696,-0.00206121252668407,-0.00524319694013381,-0.00652597831572717,-0.00696084572417381,-0.00524110566594978,-0.00697821677382669,-0.0108835167795655,-0.0114983100411785,-0.00962944048493889,-0.00385351873129594
PC10,-0.011449867205446,0.025858668829547,natural killer cell,-0.00636878554547849,-0.00322739853241734,-0.00093609037457275,-0.00506452563460775,-0.00319956433367611,-0.000454126177337807,-0.00204920005523081,0.000106884382325681,0.00103537445320276,0.00111481228365872,-0.00171125705929279,-0.00142349284094126,-0.00173474874377509,-0.0031443411349558,0.00134264861431065,0.00273136233458199,0.00159047632661049,-0.000558309274702675,-0.000565170378707648,-0.00223836253686825,0.00304710334346541,-0.00172313963740551,-0.00198365323686187,0.000137416604327798,0.00359676832695397,0.000206644457789148,-0.000476544992966121,-0.00376825261498305,0.00337583807110387,-0.00105918487438311,0.000354173132682839,0.00093406165640307,-9.8593146654546e-05,-0.00149743641814847,0.000750176611908118,-0.00195240260572962,-0.00402880279571767,0.000662555509354189,0.000719423985964083,-0.000547924366084746,-0.000622391392099978,0.00138823196810934,0.00162654479415433,-0.000767670464301547,-0.00174247355633721,0.00261127135312947,0.00339393599819249,-0.000647111241759993,-0.0011846565467114,-0.0015258028561428,-0.00137285708728173,-0.00162800057563693,-0.00105477726904934,-0.0031044749056637,-0.00213399380617899,-0.0012176227083163,-0.00518849544891875,0.00221181764375905,0.00091804097892697,0.00211693322137809,-0.000945718273562652,-0.00396343269168891,0.00123804640531558,0.00320512695661314,0.000312977484073016,-0.00498895989415557,-0.00618207217013744,-0.00634896863806028,-0.00636878554547849,-0.00419664299262174,0.000450208164125877,-0.000194300766833753,-0.001150535552642,-0.000636286675339578
