biosample,classification,output_type,file_accession
B cell,primary cell,peaks,ENCFF159HJV
B cell,primary cell,peaks,ENCFF263YRO
B cell,primary cell,peaks,ENCFF403PJS
CD14-positive monocyte,primary cell,peaks,ENCFF063IUG
CD14-positive monocyte,primary cell,peaks,ENCFF289XSM
CD14-positive monocyte,primary cell,peaks,ENCFF363XGK
"CD4-positive, alpha-beta T cell",primary cell,peaks,ENCFF023ZMS
"CD4-positive, alpha-beta T cell",primary cell,peaks,ENCFF109RSW
"CD4-positive, alpha-beta T cell",primary cell,peaks,ENCFF191WFG
"CD8-positive, alpha-beta T cell",primary cell,peaks,ENCFF109VIJ
"CD8-positive, alpha-beta T cell",primary cell,peaks,ENCFF512IML
"CD8-positive, alpha-beta T cell",primary cell,peaks,ENCFF566SXQ
Peyer's patch,tissue,peaks,ENCFF055ZSF
adrenal gland,tissue,peaks,ENCFF094AUJ
adrenal gland,tissue,peaks,ENCFF179WUI
adrenal gland,tissue,peaks,ENCFF215UXZ
brain,tissue,peaks,ENCFF103UPI
brain,tissue,peaks,ENCFF205KSG
brain,tissue,peaks,ENCFF207IYJ
cerebellum,tissue,peaks,ENCFF455ZGC
cerebellum,tissue,peaks,ENCFF952ETG
chorion,tissue,peaks,ENCFF772FRH
"common myeloid progenitor, CD34-positive",primary cell,peaks,ENCFF024DAR
"common myeloid progenitor, CD34-positive",primary cell,peaks,ENCFF059VUS
"common myeloid progenitor, CD34-positive",primary cell,peaks,ENCFF110CYC
coronary artery,tissue,peaks,ENCFF021ZDC
coronary artery,tissue,peaks,ENCFF739ASH
dermis blood vessel endothelial cell,primary cell,peaks,ENCFF045UNP
dermis blood vessel endothelial cell,primary cell,peaks,ENCFF084LGH
dermis blood vessel endothelial cell,primary cell,peaks,ENCFF419NYS
endothelial cell of umbilical vein,primary cell,peaks,ENCFF097KBE
endothelial cell of umbilical vein,primary cell,peaks,ENCFF330HEK
endothelial cell of umbilical vein,primary cell,peaks,ENCFF382IRS
esophagus muscularis mucosa,tissue,peaks,ENCFF747AGO
esophagus squamous epithelium,tissue,peaks,ENCFF197ZNE
eye,tissue,peaks,ENCFF600YFF
