tissue,rho
psoas_muscle,-0.3312344206304278
heart_left_ventricle,-0.24039768508419465
heart_right_ventricle,-0.22934285350734307
CMP,-0.20834340010411195
CD4,-0.1694066316560541
CD8,-0.16929379269534664
placenta,-0.16427976372761724
brain,-0.1472460695808226
small_intestine,-0.13282926260658
lung,-0.09031343727761207
muscle_of_trunk,-0.08609493787805918
muscle_of_leg,-0.08536846663107024
spinal_cord,-0.08534259805525887
adrenal_gland,-0.0791104019720853
Bcell,-0.05563648114326165
trophoblast,-0.046754987639893615
tibial_artery,-0.039925493272148664
tibial_nerve,-0.02917904435259258
pancreas,-0.02205758045705295
upper_lobe_of_left_lung,-0.017572913488460986
stomach,-0.00852442035736265
spleen,-0.008412368827105396
sigmoid_colon,0.002797725053081132
chorion,0.007041696872761646
esophagus_muscularis_mucosa,0.015751477336584975
large_intestine,0.01901281821424001
right_atrium_auricular_region,0.020233118097828028
liver,0.021078921807267594
Peyers_patch,0.023782027752033377
HUVEC,0.052261731691475494
kidney,0.07301172441099142
transverse_colon,0.0748247681623131
esophagus_squamous_epithelium,0.07534628120951535
monocyte,0.08545445918816474
NK,0.09427804354068607
vagina,0.10556139836140341
testis,0.10557250423122244
heart,0.14037197837452212
thymus,0.1467300520254612
