key,direction,w,dominant_celltype,origin,purity
chr20:26150000-26200000,up,0.159305816045041,VCT,Fetal,0.999
chr2:133000000-133050000,up,0.129506038709488,Epi,Maternal,0.991
chr17:47950000-48000000,up,0.0980469577210595,SCT_B,Fetal,1
chr15:74650000-74700000,up,0.0953773187195441,SCT_B,Fetal,1
chr6:10400000-10450000,up,0.095308711561916,SCT_B,Fetal,1
chr12:115200000-115250000,up,0.0884525878386116,SCT_B,Fetal,1
chr15:72450000-72500000,up,0.085783294893771,SCT_B,Fetal,1
chr12:53300000-53350000,up,0.0834843520316624,SCT_B,Fetal,1
chr11:118750000-118800000,up,0.0828181813399016,GC,Fetal,0.929
chr1:150500000-150550000,up,0.0827190790389082,SCT_B,Fetal,1
chr3:134050000-134100000,up,0.078112122614223,SCT_B,Fetal,1
chr1:32000000-32050000,up,0.0767301837469538,SCT_B,Fetal,1
chr6:35450000-35500000,up,0.076547837657098,SCT_B,Fetal,1
chr1:8250000-8300000,up,0.0752388154878966,SCT,Fetal,1
chr11:70950000-71000000,up,0.0751162792191341,SCT_B,Fetal,1
chr14:77450000-77500000,up,0.0725725934683543,SCT_B,Fetal,1
chr4:8500000-8550000,up,0.0715360139625717,SCT_B,Fetal,1
chr1:43450000-43500000,up,0.0713542940954433,SCT_B,Fetal,1
chr3:127500000-127550000,up,0.0707349662947819,SCT_B,Fetal,1
chr19:53500000-53550000,up,0.0696392686967466,proSCT,Fetal,0.997
chr9:112850000-112900000,up,0.0696033549147573,FB,Fetal,0.553
chr19:18400000-18450000,up,0.0694200053692392,dNK,Maternal,0.666
chr3:13850000-13900000,up,0.0693210943727386,SCT,Fetal,1
chr7:73200000-73250000,up,0.0688960734387838,SCT_B,Fetal,1
chr10:5500000-5550000,up,0.0685426809889611,SCT_B,Fetal,1
chr11:47900000-47950000,up,0.0681245697053215,SCT_B,Fetal,1
chr5:167750000-167800000,up,0.0678466767130175,SCT_B,Fetal,1
chr19:17400000-17450000,up,0.0674261741882109,GC,Fetal,0.929
chr2:20400000-20450000,up,0.0671864037170514,SCT_B,Fetal,1
chr3:119850000-119900000,up,0.066503537149916,SCT_B,Fetal,1
chr11:12700000-12750000,up,0.0664132887782827,eEVT,Fetal,1
chr2:75800000-75850000,up,0.0661875022211409,SCT_B,Fetal,1
chr14:96550000-96600000,up,0.0661241518844669,SCT_B,Fetal,1
chr20:30150000-30200000,up,0.0659895669321427,fEC,Fetal,0.868
chr9:110000000-110050000,up,0.0652625601755921,SCT_B,Fetal,1
chr3:193500000-193550000,up,0.0641016990352546,SCT,Fetal,1
chr10:79600000-79650000,up,0.063326366443139,SCT_B,Fetal,1
chr5:167700000-167750000,up,0.0630729056204252,SCT_B,Fetal,1
chr2:20300000-20350000,up,0.0629447341838473,SCT_B,Fetal,1
chr1:154950000-155000000,up,0.062513164433748,SCT_B,Fetal,1
chr3:128200000-128250000,up,0.0622030341907188,SCT_B,Fetal,1
chr17:80800000-80850000,up,0.0621735966145546,SCT_B,Fetal,1
chr2:241150000-241200000,up,0.0617117192377886,VCT,Fetal,0.999
chr22:37550000-37600000,up,0.0610171135759734,dNK,Maternal,0.666
chr7:75900000-75950000,up,0.0609876131680993,GC,Fetal,0.929
chr20:55550000-55600000,up,0.0607981726484378,VCT,Fetal,0.999
chr10:128100000-128150000,up,0.0604804054059003,SCT_B,Fetal,1
chr17:28550000-28600000,up,0.0601355058733814,VCT,Fetal,0.999
chr7:2850000-2900000,up,0.0597910673269226,proSCT,Fetal,0.997
chr10:134200000-134250000,up,0.059669011598947,SCT_B,Fetal,1
chr2:241350000-241400000,up,0.0594843940617158,VCT,Fetal,0.999
chr5:31900000-31950000,up,0.0590921433747651,SCT_B,Fetal,1
chr3:150450000-150500000,up,0.058952349166619,SCT_B,Fetal,1
chr1:94100000-94150000,up,0.0589082701915855,SCT_B,Fetal,1
chr19:2950000-3000000,up,0.0580302908753553,eEVT,Fetal,1
chr12:119600000-119650000,up,0.0579661170290376,SCT_B,Fetal,1
chr19:20150000-20200000,up,0.0577902240851281,VCT,Fetal,0.999
chr2:20250000-20300000,up,0.0577395392079462,SCT,Fetal,1
chr1:182050000-182100000,up,0.0576944665412743,SCT,Fetal,1
chr22:24150000-24200000,up,0.0576574322529037,SCT,Fetal,1
chr17:25850000-25900000,up,0.0576224887117006,SCT_B,Fetal,1
chr1:201950000-202000000,up,0.0575584258083755,SCT_B,Fetal,1
chr5:180600000-180650000,up,0.057479416394232,T,Maternal,0.689
chr6:3500000-3550000,up,0.0573763643984096,SCT_B,Fetal,1
chr10:47650000-47700000,up,0.0573447526875872,SCT,Fetal,1
chr11:20050000-20100000,up,0.0567486340228681,SCT_B,Fetal,1
chr19:53400000-53450000,up,0.0565397410820891,SCT_B,Fetal,1
chr4:8550000-8600000,up,0.0561859759423106,SCT_B,Fetal,1
chr6:168700000-168750000,up,0.0560636591897966,SCT_B,Fetal,1
chr11:33700000-33750000,up,0.0560468609180071,SCT_B,Fetal,1
chr21:41100000-41150000,up,0.0559224443479112,SCT_B,Fetal,1
chr9:97650000-97700000,up,0.055878089640978,SCT_B,Fetal,1
chr9:112250000-112300000,up,0.0558554666553389,SCT_B,Fetal,1
chr19:39600000-39650000,up,0.0556588110014589,SCT_B,Fetal,1
chr8:15350000-15400000,up,0.0555813248230671,SCT_B,Fetal,1
chr10:95200000-95250000,up,0.0555100513607224,SCT_B,Fetal,1
chr7:152200000-152250000,up,0.0555070595898707,SCT_B,Fetal,1
chr15:70700000-70750000,up,0.0553677626318054,SCT_B,Fetal,1
chr6:21350000-21400000,up,0.0553169891741815,VCT,Fetal,0.999
chr5:150000000-150050000,up,0.0552320364033275,SCT_B,Fetal,1
chr16:85500000-85550000,up,0.0551031429197977,SCT_B,Fetal,1
chr1:26200000-26250000,up,0.0547889606200759,SCT_B,Fetal,1
chr20:49250000-49300000,up,0.0545804566113696,GC,Fetal,0.929
chr11:94450000-94500000,up,0.0545679876522474,SCT_B,Fetal,1
chr20:55350000-55400000,up,0.0545547516066966,SCT,Fetal,1
chr5:148650000-148700000,up,0.0545392188268332,fEC,Fetal,0.868
chr19:30300000-30350000,up,0.053851997759991,eEVT,Fetal,1
chr11:9550000-9600000,up,0.0538372403259967,SCT_B,Fetal,1
chr1:26650000-26700000,up,0.0536718738017325,SCT_B,Fetal,1
chr9:112200000-112250000,up,0.0534828600779207,eEVT,Fetal,1
chr7:96600000-96650000,up,0.0534607152896447,eEVT,Fetal,1
chr1:208350000-208400000,up,0.0534594334773487,SCT_B,Fetal,1
chr19:48100000-48150000,up,0.0532469585382521,GC,Fetal,0.929
chr20:49300000-49350000,up,0.0531581019292774,SCT,Fetal,1
chr4:170850000-170900000,up,0.0531098676983854,SCT_B,Fetal,1
chr2:220400000-220450000,up,0.0528335978336151,GC,Fetal,0.929
chr19:39300000-39350000,up,0.0525697770580793,SCT_B,Fetal,1
chr20:46050000-46100000,up,0.0525167745692505,SCT_B,Fetal,1
chr1:144900000-144950000,up,0.0525003331264204,SCT_B,Fetal,1
chr1:17000000-17050000,up,0.0524583776436098,Ery,Fetal,0.612
chr11:150000-200000,up,0.052410400399199,SCT_B,Fetal,1
chr7:151350000-151400000,up,0.052335802895626,SCT_B,Fetal,1
chr3:195850000-195900000,up,0.0523199593310928,SCT_B,Fetal,1
chr11:126250000-126300000,up,0.0522835646130329,SCT_B,Fetal,1
chr14:69000000-69050000,up,0.052126904859085,SCT_B,Fetal,1
chr16:85550000-85600000,up,0.0517364258790734,SCT_B,Fetal,1
chr5:148950000-149000000,up,0.0516946731037904,SCT_B,Fetal,1
chr6:159250000-159300000,up,0.0516146929056968,SCT_B,Fetal,1
chr7:6300000-6350000,up,0.051551606214739,SCT_B,Fetal,1
chr2:65000000-65050000,up,0.0513397509343627,SCT_B,Fetal,1
